Context,Response
"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri.   Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.   Saya belum pernah mencoba atau berpikir untuk bunuh diri.   Saya selalu ingin memperbaiki masalah saya,  tapi saya tidak pernah sempat melakukannya.   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?","Orang-orang yang merasa tidak berharga,  dengan satu atau lain cara,  diberitahu bahwa mereka tidak berharga.  Ini adalah kebohongan yang hidup bersama mereka.  Pekerjaan terapi adalah membantu orang melihat diri mereka yang baik.  Ini memberi mereka harga diri."
"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri.   Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.   Saya belum pernah mencoba atau berpikir untuk bunuh diri.   Saya selalu ingin memperbaiki masalah saya,  tapi saya tidak pernah sempat melakukannya.   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?","Saya menyesal mendengar Anda merasakan emosi yang intens ini dari tidak berharga.  Saya senang mendengar ini belum mencapai titik ide bunuh diri; Namun,  sepertinya Anda bisa menggunakan beberapa dukungan tambahan sekarang.  Saya akan merekomendasikan mencari konseling untuk membantu Anda menantang keyakinan negatif yang Anda miliki tentang diri Anda.  Meskipun banyak jenis terapi akan membantu,  terapi perilaku-kognitif telah terbukti menjadi pendekatan yang baik untuk jenis perjuangan ini.  Seorang terapis CBT dapat membantu Anda mengidentifikasi pikiran dan keyakinan negatif Anda,  mencari tahu cara pikiran Anda terdistorsi (misalnya,  pemikiran semua atau tidak sama sekali,  atau mengabaikan positif tentang diri Anda),  dan membingkai ulang pikiran Anda untuk menjadi lebih positif.  Anda juga dapat mempertimbangkan terapi EMDR,  yang membantu pemrosesan ulang otak traumatis atau kenangan yang menyusahkan dan membantu Anda bergerak maju dengan keyakinan yang lebih positif tentang diri Anda.  Semoga sukses!"
"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri.   Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.   Saya belum pernah mencoba atau berpikir untuk bunuh diri.   Saya selalu ingin memperbaiki masalah saya,  tapi saya tidak pernah sempat melakukannya.   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?","Sepertinya Anda mungkin berjuang dengan depresi.  Depresi dapat membuat Anda merasa kewalahan dan lumpuh berubah.  Saya akan menyarankan agar Anda terhubung dengan penyedia yang dapat membantu Anda mencapai akar dari mana ketidakberdayaan itu berasal dan membantu Anda mengembangkan rencana pemulihan.  Sementara itu,  langkah-langkah kecil bisa sangat membantu.  Intervensi perawatan diri seperti membuat jurnal perasaan Anda,  meditasi perhatian,  dan olahraga teratur semuanya membantu untuk berhubungan kembali dengan momen saat ini dan mendapatkan motivasi internal.  Berfokus pada satu hari pada satu waktu dan membawa pikiran Anda kembali ke masa kini juga dapat bermanfaat.  Ada harapan!"
"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri.   Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.   Saya belum pernah mencoba atau berpikir untuk bunuh diri.   Saya selalu ingin memperbaiki masalah saya,  tapi saya tidak pernah sempat melakukannya.   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?","Saya senang Anda tertarik untuk mengubah perasaan tidak berharga Anda.  Mengunjungi dokter Anda adalah langkah pertama yang bagus untuk mengatasi kurangnya tidur Anda.  Pertama,  Anda ingin memastikan bahwa Anda sehat secara fisik dan tidak ada kondisi fisik yang menyebabkan masalah Anda dengan tidur.  Mengubah perasaan Anda adalah sesuatu yang sulit dilakukan,  terutama sendiri.  Pastikan Anda memiliki seseorang yang dapat Anda percayai dan Anda dapat berbicara tentang bagaimana perasaan Anda.  Ini bisa menjadi teman atau anggota keluarga.  Jika Anda menemukan bahwa tidak ada orang yang Anda akan merasa nyaman berbicara tentang masalah ini,  temukan terapis yang dekat dengan Anda yang dapat membantu.  Salah satu kegiatan yang orang temukan bermanfaat dalam merasa lebih baik tentang diri mereka adalah membuat jurnal terima kasih.  Anda dapat melakukan ini dengan membuat jurnal setiap hari tentang hal-hal yang Anda syukuri.  Tidak ada cara yang benar atau salah untuk melakukan ini,  selama Anda memfokuskan entri jurnal Anda pada hal-hal yang Anda syukuri dalam hidup."
"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri.   Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.   Saya belum pernah mencoba atau berpikir untuk bunuh diri.   Saya selalu ingin memperbaiki masalah saya,  tapi saya tidak pernah sempat melakukannya.   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?","Anda memiliki beberapa hal yang terjadi di sini.  Tidur harus ditangani dengan dokter perawatan primer untuk mengesampingkan masalah fisik apa pun.  Tidur adalah reset besar dan memungkinkan kita untuk berfungsi pada hari itu.  Apa yang terjadi selama depresi adalah bahwa pikiran kita berlomba dan seolah-olah ""otak tidak akan dimatikan.  ""Obat dapat membantu dengan ini.  Saya juga menggunakan teknik pernapasan yoga pranayama yang disebut The Four Fold Breath yang memiliki kegunaan yang sangat besar untuk membuat kami rileks dan sering bekerja dengan baik dengan memungkinkan kami untuk tidur .  .   Anda dapat membacanya di sini:  https/billleavitttherapy.  com/teknis pernapasan---Breath-fold-Breath/Pikiran Anda tentang perasaan tidak berharga bagi semua orang yang jatuh di bawah judul kesalahan berpikir dalam terapi perilaku kognitif (CBT) yang dikenal sebagai generalisasi yang berlebihan.  Dalam pikiran CBT mengarah pada emosi,  jadi kita akan memilih pernyataan itu dan kemudian membingkai ulang.  Daftar pertama bukti yang bertentangan dengan pemikiran itu.  Apakah ada orang di masa lalu yang membuat komentar positif terhadap Anda?  Ini mungkin sulit untuk diingat jika kita berada dalam kebiasaan,  tetapi pada titik tertentu dalam hidup kita sering memiliki beberapa hal positif yang diungkapkan kepada kita oleh orang lain.  ""Semua orang"" adalah mutlak.  Spesifik tentang mengapa Anda berpikir ini perlu ditangani.  Bagaimana Anda sampai pada kesimpulan ini?  Mungkin ada orang spesifik yang kami inginkan lebih banyak validasi.  Atau orang-orang tertentu mungkin membuat komentar yang menyakitkan,  (seperti anggota keluarga,  guru atau rekan kerja) tetapi jika saya mengekstrapolasi itu ke global dan berpikir bahwa semua orang berpikir saya tidak berharga,  pemikiran itu tidak berakar pada fakta.  Apa pro dan kontra berpikir seperti ini?  Apa manfaat dan biaya?  Ada sangat sedikit pro atau manfaat untuk berpikir seperti ini.  Itu hanya akan terus menghancurkan Anda dan membuat Anda merasa buruk.  Jadi bisakah kita membingkai ulang pemikiran tentang situasinya?  Apakah ada cara lain untuk melihat situasinya?  Sekali lagi,  kami membutuhkan spesifik tentang bagaimana Anda sampai pada kesimpulan ini,  dan terapis satu lawan satu pasti dapat membantu Anda dalam hal ini,  tetapi pemikiran yang Anda gunakan untuk sampai pada kesimpulan perlu dikerjakan ulang menjadi lebih bermanfaatkerangka berpikir."
"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri.   Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.   Saya belum pernah mencoba atau berpikir untuk bunuh diri.   Saya selalu ingin memperbaiki masalah saya,  tapi saya tidak pernah sempat melakukannya.   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?","Halo,  Anda terdengar seperti Anda memiliki banyak hal di pikiran Anda! Saya lega mendengar bahwa Anda belum pernah mencoba atau telah merenungkan bunuh diri,  tetapi tidak bisa tidur,  merasa tidak berharga,  dan seolah-olah Anda seharusnya tidak berada di sini adalah masalah besar yang perlu ditangani.   Harap dapatkan konseling.  Memiliki seseorang untuk mendengarkan Anda adalah hadiah untuk diri sendiri.  Anda pantas mendapatkan bantuan seseorang yang membantu Anda mengubah perasaan tidak berharga.  Anda belum bisa melakukan ini sendirian.  Saatnya untuk mencari bantuan.  Kamu bisa melakukan ini! Terbaik untukmu!"
"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri.   Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.   Saya belum pernah mencoba atau berpikir untuk bunuh diri.   Saya selalu ingin memperbaiki masalah saya,  tapi saya tidak pernah sempat melakukannya.   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?","Sepertinya Anda mengalami depresi yang cukup parah.  Depresi dapat menyebabkan insomnia,  dan membuat seseorang fokus pada persepsi mereka sendiri bahwa mereka ""tidak berharga"".  Penting untuk diingat bahwa orang lain mungkin tidak benar-benar menganggap Anda tidak berharga.  Ini adalah depresi yang berbicara.  Saya pikir itu sangat penting ketika Anda mengalami depresi,  untuk duduk dan menuliskan beberapa hal positif tentang diri Anda.  Apa kekuatanmu?  Apa saja hal-hal positif yang telah Anda lakukan dalam hidup Anda?  Itu mengkhawatirkan saya bahwa Anda memiliki pikiran bunuh diri.  Sepertinya sekarang adalah waktu untuk bertindak berdasarkan gagasan mendapatkan bantuan untuk diri sendiri.  Jika Anda merasa seperti Anda benar-benar mengambil hidup Anda,  saya akan merekomendasikan agar Anda pergi ke ruang gawat darurat rumah sakit,  atau klinik krisis kesehatan mental segera untuk mendapatkan bantuan.  Hal terpenting saat ini adalah menjaga diri Anda tetap aman.  Jika Anda merasa tidak akan menyakiti diri sendiri terlepas dari pikiran bunuh diri Anda,  saya akan merekomendasikan agar Anda fokus menemukan terapis sesegera mungkin.  Saya tidak tahu apa situasi Anda dalam hal asuransi.  Bagian belakang kartu asuransi Anda harus memberi tahu Anda cara mendapatkan layanan kesehatan mental.  Ada juga layanan berbiaya rendah yang tersedia dengan tempat-tempat seperti badan amal Katolik,  dan lainnya.  Badan kesehatan mental kabupaten lokal Anda harus dapat merujuk Anda ke beberapa tempat yang sesuai.  Semoga beruntung.  Ingatlah untuk mengidentifikasi kekuatan Anda,  dan hal-hal baik tentang diri Anda.  Marie"
"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri.   Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.   Saya belum pernah mencoba atau berpikir untuk bunuh diri.   Saya selalu ingin memperbaiki masalah saya,  tapi saya tidak pernah sempat melakukannya.   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?","Anda bisa,  pasti .  .  .   dan langkah pertama adalah percaya bahwa Anda layak untuk diri sendiri.  Mengenali Anda dalam pencarian sudah merupakan langkah pertama yang besar.  Meluangkan waktu untuk mulai mencari tahu siapa Anda pasti berikutnya .  .  .   lakukan dengan belas kasih dan kebaikan.  Ketahuilah ini adalah proses dan nantikan apa yang mungkin Anda temukan.  Saya merekomendasikan Anda menemukan seseorang untuk diajak bicara (ada banyak pilihan di luar sana yang dapat sesuai dengan situasi Anda),  dan saya juga menyarankan Anda mulai dengan memberi diri Anda pentingnya untuk menginvestasikan waktu dan upaya dalam pencarian ini.  Anda pantas mendapatkannya.  Ada beberapa pembicaraan TED yang luar biasa yang dapat Anda google,  buku-buku hebat yang dapat Anda baca,  atau bahkan bergabung dengan latihan yoga,  tim atau semacam hobi dapat membantu.  Apa pun yang menunjukkan diri Anda layak untuk upaya ini.  Memiliki kesabaran dan mulai ! ! ! ! Jawabannya ada di luar sana menunggu Anda.  Mengajukan pertanyaan ini sudah membuat Anda berada di jalan yang benar."
"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri.   Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.   Saya belum pernah mencoba atau berpikir untuk bunuh diri.   Saya selalu ingin memperbaiki masalah saya,  tapi saya tidak pernah sempat melakukannya.   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?","Seringkali kita dapat mengubah perasaan kita tentang diri kita sendiri dengan membangun hubungan yang lebih baik dengan diri kita sendiri.  Sepertinya ada aspek yang sangat kritis dari diri Anda yang hidup dan mengambil alih.  Kadang-kadang ketika kita terjebak itu karena bagian dari diri kita sendiri,  cara yang mungkin kita pelajari untuk mengatasi situasi sulit di awal kehidupan kita,  telah memutuskan untuk menjalankan pertunjukan.  Seperti bagian yang sangat kritis yang mungkin sebenarnya berusaha keras untuk melindungi kita dari luka di masa lalu.  Memperlambat dan bahkan membentuk hubungan dengan bagian internal yang kritis ini akan membantu Anda mendapatkan ruang darinya.  Ketika kita dapat mulai mengamati bagian-bagian dari diri kita sendiri,  ingin tahu tentang mereka,  mengenal mereka seperti teman baru,  maka kita memiliki ruang untuk cara lain.  Terapi pemula bisa menjadi cara yang bagus untuk mengubah perasaan tidak berharga ini.  Mulai membangun hubungan dan pemahaman yang lebih baik tentang diri Anda akan sangat mempengaruhi hubungan di sekitar Anda.  Langkah pertama ini mungkin terasa sulit,  untuk menjangkau seseorang,  dan itu bisa menjadi langkah awal ke jalur radikal menggeser hubungan Anda dengan diri sendiri dan orang lain dalam hidup Anda."
"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri.   Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.   Saya belum pernah mencoba atau berpikir untuk bunuh diri.   Saya selalu ingin memperbaiki masalah saya,  tapi saya tidak pernah sempat melakukannya.   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?","Perasaan tidak berharga sering kali berasal dari apa yang Anda pelajari tentang diri Anda ketika Anda masih muda.  Meningkatkan harga diri Anda perlu fokus pada pesan asli dari orang tua,  guru atau saudara kandung yang mungkin ditekan.  Sebagian besar dari kita membutuhkan bantuan untuk mengungkap ""kebohongan"" karena Anda terlahir berharga!"
"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri.   Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.   Saya belum pernah mencoba atau berpikir untuk bunuh diri.   Saya selalu ingin memperbaiki masalah saya,  tapi saya tidak pernah sempat melakukannya.   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?",Perasaan tidak berharga disebabkan oleh bagian dalam Anda tidak cocok dengan hasil luar Anda.  Perbandingan Anda dengan orang lain dan Anda berpikir Anda perlu menjadi orang lain selain dari siapa Anda.  Anda tidak berharga.  Tidak ada yang tidak berharga.  Anda perlu menemukan nilai Anda dan tidak membiarkan diri Anda berbicara tentang kebaikan yang Anda temukan dalam diri Anda.  Saya harap kata-kata ini beresonansi dengan Anda dan bahwa Anda mulai mencari nilai Anda bahkan jika itu sesederhana saya bisa bangun dari tempat tidur dan memanggil seseorang dan membuat lelucon.
